image_path,participant,difficulty
tracking_data_download\participant_5\extracted_images\capture__1627049028335.9087.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028391.8757.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028474.4365.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028531.4065.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028596.3665.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028675.3247.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028757.2751.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028814.2412.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028890.1978.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028954.1775.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029019.132.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029100.0857.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029167.0483.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029236.011.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029302.9707.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029364.933.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029429.424.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029514.3752.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029582.3347.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029654.293.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029729.251.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029801.2114.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029874.1658.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029955.1194.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049029995.0967.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030069.0542.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030185.4963.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030219.4766.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030292.4338.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030364.3926.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030425.3577.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030495.3164.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030563.2773.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030625.2434.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030723.1853.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030792.1465.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030856.1084.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049030917.083.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031001.034.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031071.9924.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031139.0017.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031195.9712.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031268.9272.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031338.8875.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031404.8489.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031469.8108.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031562.7566.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031625.7207.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031692.683.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031756.6467.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031831.6025.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031893.5671.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049031961.5273.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032046.4778.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032120.4358.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032156.4143.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032251.3599.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032317.3247.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032418.2634.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032452.244.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032517.2087.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032605.1558.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032670.1187.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032734.0823.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032798.0454.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032874.0012.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049032930.9673.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033001.931.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033081.6965.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033144.66.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033238.6062.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033309.5657.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033383.5247.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033445.4878.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033514.4463.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033576.4111.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033633.378.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033705.3386.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033774.8103.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033875.753.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049033930.7195.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034010.674.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034084.6306.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034145.5977.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034223.5537.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034289.513.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034351.4795.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034409.4438.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034482.404.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034570.3518.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034639.3108.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034708.272.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034768.2388.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034842.1938.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049034914.1543.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049279501.7869.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049279592.734.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049279658.483.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049279739.436.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049279792.4058.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049279858.3672.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049279912.3384.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049279993.2898.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280062.2498.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280151.1987.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280221.1582.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280312.106.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280394.0583.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280424.042.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280486.0059.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280582.951.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280620.9277.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280727.867.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280764.845.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280893.771.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280930.75.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049280982.719.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281061.7883.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281122.9602.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281191.921.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281253.887.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281322.8445.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281394.8064.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281472.7598.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281535.7244.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281619.6768.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281691.6333.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281786.5789.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281821.5579.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281869.5305.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049281963.6013.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282066.5413.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282117.5112.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282194.4685.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282261.4282.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282329.3894.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282393.3538.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282459.3147.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282531.2786.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282593.239.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282665.1987.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282802.1174.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282802.1174.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282892.073.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049282930.0508.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283032.921.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283066.8997.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283162.355.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283199.3342.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283263.296.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283372.2334.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283409.2124.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283512.152.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283596.233.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283632.21.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283734.1511.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283774.1301.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283860.0796.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283928.0386.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049283992.0046.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284081.9497.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284191.8882.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284191.8882.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284272.8413.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284331.807.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284414.758.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284500.7085.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284557.6753.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284632.6335.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284666.614.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284794.5388.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284833.5176.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284920.4668.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049284958.4465.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285035.401.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285124.799.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285212.084.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285257.058.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285312.025.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285403.975.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285467.935.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285528.901.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285605.8562.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285687.8086.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285764.765.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285810.7378.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285912.6792.png,participant_5,hard
tracking_data_download\participant_5\extracted_images\capture__1627049285958.6526.png,participant_5,hard
